timestamp,node_id,location,elevation,SO2,H2S,Temp_C,Humidity_pct,RSSI_dBm,SNR_dB,ack_success,hour_sin,hour_cos
2026-05-14 11:00:00,1,"7°10'00.64""S 107°24'04.92""E",2201.98,414.69876,135.39554,20.152142,85.11897,-74.732086,9.059155,True,0.258819045102521,-0.9659258262890682
2026-05-14 11:00:02,2,"7°09'59.92""S 107°24'13.14""E",2192.38,22.511225,14.252229,20.007719,91.884346,-80.64874,8.903409,True,0.25867855414883245,-0.9659634597765433
2026-05-14 11:00:04,1,"7°10'00.64""S 107°24'04.92""E",2201.98,375.1178,146.56021,20.582777,91.04658,-67.64748,11.46592,True,0.2585380577230606,-0.9660010728300396
2026-05-14 11:00:06,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.396029,15.01191,24.155685,73.03701,-86.57457,12.443881,True,0.2583975558281779,-0.9660386654487613
2026-05-14 11:00:08,1,"7°10'00.64""S 107°24'04.92""E",2201.98,415.09695,139.53754,19.110088,84.667046,-69.673294,12.076218,True,0.258257048467157,-0.9660762376319131
2026-05-14 11:00:10,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.397882,17.15424,19.339539,87.27352,-68.75228,11.821692,True,0.2581165356429693,-0.9661137893787003
2026-05-14 11:00:12,1,"7°10'00.64""S 107°24'04.92""E",2201.98,406.47647,152.13818,21.560198,75.47904,-75.54439,10.5004015,True,0.2579760173585885,-0.9661513206883284
2026-05-14 11:00:14,2,"7°09'59.92""S 107°24'13.14""E",2192.38,17.497387,18.92221,18.263016,81.511986,-70.72735,9.830757,True,0.25783549361698543,-0.9661888315600038
2026-05-14 11:00:16,1,"7°10'00.64""S 107°24'04.92""E",2201.98,364.55664,154.92041,20.11934,84.62123,-75.147766,10.962929,True,0.25769496442113354,-0.9662263219929328
2026-05-14 11:00:18,2,"7°09'59.92""S 107°24'13.14""E",2192.38,19.127554,15.865052,22.358084,87.83843,-71.883286,11.444782,True,0.25755442977400606,-0.9662637919863222
2026-05-14 11:00:20,1,"7°10'00.64""S 107°24'04.92""E",2201.98,345.11307,136.91537,20.317762,98.913925,-76.95448,9.700393,True,0.2574138896785749,-0.9663012415393796
2026-05-14 11:00:22,2,"7°09'59.92""S 107°24'13.14""E",2192.38,18.464952,16.69306,22.210245,80.25246,-72.651985,12.752311,True,0.2572733441378145,-0.9663386706513124
2026-05-14 11:00:24,1,"7°10'00.64""S 107°24'04.92""E",2201.98,376.9946,144.80692,18.251657,89.543465,-80.021706,10.386704,True,0.25713279315469656,-0.9663760793213293
