timestamp,node_id,SO2,H2S,Temp_C,Humidity_pct,RSSI_dBm,SNR_dB,ack_success,location,elevation_m,hour_sin,hour_cos,Wind_kph,calculated_pressure_hPa,inversion_multiplier
2026-05-14 11:00:00,76,319.0,121.0,19.55,87.64,-74.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.258819045102521,-0.9659258262890682,,,
2026-05-14 11:00:02,56,39.0,22.0,19.93,83.65,-74.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.25867855414883245,-0.9659634597765433,,,
2026-05-14 11:00:04,76,356.0,121.0,19.55,87.64,-74.0,11.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.2585380577230606,-0.9660010728300396,,,
2026-05-14 11:00:06,56,39.0,22.0,19.93,83.65,-74.0,11.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.2583975558281779,-0.9660386654487613,,,
2026-05-14 11:00:08,76,356.0,158.0,19.55,87.64,-73.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.258257048467157,-0.9660762376319131,,,
2026-05-14 11:00:10,56,36.0,22.0,19.93,83.65,-76.0,10.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.2581165356429693,-0.9661137893787003,,,
2026-05-14 11:00:12,76,416.0,158.0,19.5,90.75,-76.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.2579760173585885,-0.9661513206883284,,,
2026-05-14 11:00:14,56,36.0,22.0,19.93,83.65,-77.0,11.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.25783549361698543,-0.9661888315600038,,,
2026-05-14 11:00:16,76,416.0,158.0,19.5,90.75,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.25769496442113354,-0.9662263219929328,,,
2026-05-14 11:00:18,56,36.0,22.0,19.93,83.65,-76.0,11.5,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.25755442977400606,-0.9662637919863222,,,
2026-05-14 11:00:20,76,416.0,177.0,19.5,90.75,-76.0,10.5,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.2574138896785749,-0.9663012415393796,,,
2026-05-14 11:00:22,56,34.0,22.0,19.96,84.15,-74.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.2572733441378145,-0.9663386706513124,,,
2026-05-14 11:00:24,76,437.0,177.0,19.5,90.75,-75.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.25713279315469656,-0.9663760793213293,,,
2026-05-14 11:00:26,56,34.0,22.0,19.96,84.15,-75.0,10.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.25699223673219473,-0.9664134675486387,,,
2026-05-14 11:00:28,76,437.0,180.0,19.41,88.14,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.2568516748732819,-0.9664508353324497,,,
2026-05-14 11:00:30,56,31.0,22.0,19.96,84.15,-74.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.25671110758093196,-0.966488182671972,,,
2026-05-14 11:00:32,76,437.0,180.0,19.41,88.14,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.2565705348581189,-0.9665255095664153,,,
2026-05-14 11:00:34,56,31.0,19.0,19.96,84.15,-73.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38,0.25642995670781604,-0.9665628160149901,,,
2026-05-14 11:00:36,76,434.0,180.0,19.41,88.14,-74.0,11.5,True,"7°10'00.64""S 107°24'04.92""E",2201.98,0.25628937313299704,-0.9666001020169072,,,
