timestamp,node_id,location,elevation,SO2,H2S,Temp_C,Humidity_pct,RSSI_dBm,SNR_dB,ack_success,horizon
2026-05-15 10:00:02,2,"7°09'59.92""S 107°24'13.14""E",2192.38,22.064095,24.220678,25.247246,65.47024,-74.91973,12.395126,True,1h
2026-05-15 10:00:06,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.950125,24.11568,25.216259,65.53293,-74.97786,12.383622,True,1h
2026-05-15 10:00:10,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.83158,24.007883,25.185266,65.60633,-75.026505,12.3733635,True,1h
2026-05-15 10:00:14,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.716465,23.903753,25.155176,65.67955,-75.07062,12.363908,True,1h
2026-05-15 10:00:18,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.60768,23.805859,25.126757,65.75079,-75.109695,12.355345,True,1h
2026-05-15 10:00:22,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.506521,23.715302,25.100407,65.81864,-75.14375,12.347682,True,1h
2026-05-15 10:00:26,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.413858,23.632685,25.076315,65.88208,-75.17324,12.340878,True,1h
2026-05-15 10:00:30,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.328796,23.557203,25.054323,65.94118,-75.1986,12.334837,True,1h
2026-05-15 10:00:34,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.250984,23.488482,25.034338,65.99582,-75.22036,12.329483,True,1h
2026-05-15 10:00:38,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.180353,23.426289,25.01626,66.045944,-75.239136,12.324736,True,1h
2026-05-15 10:00:42,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.116701,23.370453,25.00007,66.09132,-75.25521,12.320553,True,1h
2026-05-15 10:00:46,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.058874,23.31989,24.98545,66.13273,-75.26908,12.316838,True,1h
2026-05-15 10:00:50,2,"7°09'59.92""S 107°24'13.14""E",2192.38,21.006233,23.274025,24.972237,66.17047,-75.28104,12.313533,True,1h
2026-05-15 10:00:54,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.958054,23.232141,24.960192,66.205185,-75.29152,12.310559,True,1h
2026-05-15 10:00:58,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.915504,23.195213,24.94959,66.2358,-75.30058,12.307953,True,1h
2026-05-15 10:01:02,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.87772,23.162502,24.940222,66.262886,-75.30845,12.305658,True,1h
2026-05-15 10:01:06,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.842226,23.131832,24.931461,66.28846,-75.31545,12.303545,True,1h
2026-05-15 10:01:10,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.8106,23.104572,24.923695,66.311134,-75.32156,12.301677,True,1h
2026-05-15 10:01:14,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.781832,23.079845,24.916681,66.331665,-75.3269,12.300001,True,1h
2026-05-15 10:01:18,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.7555,23.05725,24.91028,66.35045,-75.33167,12.298481,True,1h
2026-05-15 10:01:22,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.732065,23.037136,24.90458,66.36715,-75.335945,12.297121,True,1h
2026-05-15 10:01:26,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.710838,23.018986,24.899464,66.382126,-75.33968,12.295904,True,1h
2026-05-15 10:01:30,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.690859,23.00192,24.894657,66.39628,-75.34307,12.294773,True,1h
2026-05-15 10:01:34,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.67318,22.986803,24.890394,66.408775,-75.34616,12.29376,True,1h
2026-05-15 10:01:38,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.656992,22.97299,24.886507,66.42015,-75.34896,12.292837,True,1h
2026-05-15 10:01:42,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.642673,22.960802,24.883085,66.430046,-75.35148,12.292013,True,1h
2026-05-15 10:01:46,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.629284,22.949396,24.879875,66.43936,-75.35381,12.291245,True,1h
2026-05-15 10:01:50,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.617424,22.939383,24.87709,66.44732,-75.3558,12.29057,True,1h
2026-05-15 10:01:54,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.606077,22.929792,24.874418,66.45502,-75.35767,12.28993,True,1h
2026-05-15 10:01:58,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.595709,22.921083,24.872015,66.46187,-75.35933,12.2893505,True,1h
2026-05-15 10:02:02,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.585417,22.91238,24.86958,66.46892,-75.361015,12.28877,True,1h
2026-05-15 10:02:06,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.57645,22.904833,24.867481,66.474846,-75.362526,12.288259,True,1h
2026-05-15 10:02:10,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.567974,22.897724,24.865513,66.48039,-75.363914,12.287778,True,1h
2026-05-15 10:02:14,2,"7°09'59.92""S 107°24'13.14""E",2192.38,20.55995,22.891008,24.863655,66.4856,-75.36523,12.287325,True,1h
