timestamp,node_id,SO2,H2S,Temp_C,Humidity_pct,RSSI_dBm,SNR_dB,ack_success,location,elevation_m
2026-05-14 11:00:00,76,319.0,121.0,19.55,87.64,-74.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:02,56,39.0,22.0,19.93,83.65,-74.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:04,76,356.0,121.0,19.55,87.64,-74.0,11.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:06,56,39.0,22.0,19.93,83.65,-74.0,11.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:08,76,356.0,158.0,19.55,87.64,-73.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:10,56,36.0,22.0,19.93,83.65,-76.0,10.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:12,76,416.0,158.0,19.5,90.75,-76.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:14,56,36.0,22.0,19.93,83.65,-77.0,11.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:16,76,416.0,158.0,19.5,90.75,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:18,56,36.0,22.0,19.93,83.65,-76.0,11.5,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:20,76,416.0,177.0,19.5,90.75,-76.0,10.5,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:22,56,34.0,22.0,19.96,84.15,-74.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:24,76,437.0,177.0,19.5,90.75,-75.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:26,56,34.0,22.0,19.96,84.15,-75.0,10.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:28,76,437.0,180.0,19.41,88.14,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:30,56,31.0,22.0,19.96,84.15,-74.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:32,76,437.0,180.0,19.41,88.14,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:34,56,31.0,19.0,19.96,84.15,-73.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:36,76,434.0,180.0,19.41,88.14,-74.0,11.5,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:38,56,31.0,19.0,19.96,84.15,-73.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:40,76,434.0,180.0,19.41,88.14,-74.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:42,56,28.0,19.0,19.99,84.15,-74.0,11.5,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:44,76,440.0,177.0,19.41,88.14,-74.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:46,56,28.0,19.0,19.99,84.15,-76.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:48,76,440.0,177.0,19.38,88.64,-75.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:50,56,23.0,19.0,19.99,84.15,-73.0,12.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:52,76,440.0,190.0,19.38,88.64,-74.0,11.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:54,56,23.0,19.0,19.99,84.15,-73.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:00:56,76,468.0,190.0,19.38,88.64,-76.0,11.25,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:00:58,56,23.0,19.0,19.99,84.15,-75.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:00,76,468.0,226.0,19.38,88.64,-74.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:02,56,20.0,19.0,20.03,83.55,-75.0,12.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:04,76,550.0,226.0,19.38,88.64,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:06,56,20.0,19.0,20.03,83.55,-76.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:08,76,550.0,243.0,19.35,92.0,-75.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:10,56,18.0,19.0,20.03,83.55,-77.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:12,76,550.0,243.0,19.35,92.0,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:14,56,18.0,19.0,20.03,83.55,-76.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:16,76,618.0,226.0,19.35,92.0,-76.0,10.5,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:18,56,18.0,19.0,20.03,83.55,-79.0,11.25,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:20,76,618.0,226.0,19.35,92.0,-75.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:22,56,18.0,19.0,20.07,84.35,-78.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:24,76,592.0,211.0,19.35,92.0,-76.0,10.75,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:26,56,18.0,19.0,20.07,84.35,-76.0,10.75,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:28,76,592.0,211.0,19.26,89.49,-76.0,11.25,True,"7°10'00.64""S 107°24'04.92""E",2201.98
2026-05-14 11:01:30,56,18.0,19.0,20.07,84.35,-76.0,11.0,True,"7°09'59.92""S 107°24'13.14""E",2192.38
2026-05-14 11:01:32,76,592.0,211.0,19.26,89.49,-77.0,11.0,True,"7°10'00.64""S 107°24'04.92""E",2201.98
